,open,high,low,close,volume,day,time
13820,307.89,307.9,307.75,307.86,47420,2019-11-05,11:30:00
13821,307.87,308.04,307.8,307.91,67629,2019-11-05,12:00:00
13822,307.93,308.04,307.89,307.92,34534,2019-11-05,12:30:00
13823,307.9899,308.01,307.79,307.88,74594,2019-11-05,13:00:00
13824,307.9,308.09,307.37,308.05,364286,2019-11-05,13:30:00
13825,308.04,308.13,307.48,307.53,259440,2019-11-05,14:00:00
13826,307.57,307.67,307.2096,307.38,3717111,2019-11-05,14:30:00
13827,307.46,307.9195,306.82,306.92,4877081,2019-11-05,15:00:00
13828,306.91,307.135,306.71,306.91,2591058,2019-11-05,15:30:00
13829,306.93,307.32,306.91,307.1246,2435543,2019-11-05,16:00:00
13830,306.96,306.97,306.56,306.72,4260,2019-11-06,09:30:00
13831,306.67,306.86,306.67,306.86,31110,2019-11-06,10:00:00
13832,306.89,306.92,306.87,306.9,2629,2019-11-06,10:30:00
13833,306.89,306.97,306.89,306.97,4212,2019-11-06,11:00:00
13834,306.95,307.0,306.82,306.9,21451,2019-11-06,11:30:00
13835,306.92,307.27,306.92,307.2,34586,2019-11-06,12:00:00
13836,307.2,307.21,307.1,307.18,44639,2019-11-06,12:30:00
13837,306.94,307.3,306.89,307.24,159484,2019-11-06,13:00:00
13838,307.2,307.41,307.13,307.3,118178,2019-11-06,13:30:00
13839,307.25,307.29,307.02,307.02,181180,2019-11-06,14:00:00
13840,307.03,307.07,306.4501,306.955,3231182,2019-11-06,14:30:00
13841,306.96,307.18,306.85,306.9,2640255,2019-11-06,15:00:00
13842,306.88,307.015,306.74,306.78,2146404,2019-11-06,15:30:00
13843,306.78,307.0,306.74,306.88,1429483,2019-11-06,16:00:00
13844,308.71,308.85,308.62,308.73,105267,2019-11-07,09:30:00
13845,308.74,308.85,308.68,308.77,129419,2019-11-07,10:00:00
13846,308.74,308.77,308.59,308.71,30130,2019-11-07,10:30:00
13847,308.7,308.75,308.6,308.63,26698,2019-11-07,11:00:00
13848,308.64,308.64,308.46,308.46,17710,2019-11-07,11:30:00
13849,308.45,308.49,308.32,308.39,82444,2019-11-07,12:00:00
13850,308.43,308.51,308.41,308.46,16330,2019-11-07,12:30:00
13851,308.44,308.94,307.02,308.56,124785,2019-11-07,13:00:00
13852,308.56,308.65,308.24,308.4,110778,2019-11-07,13:30:00
13853,308.39,308.64,308.38,308.59,94917,2019-11-07,14:00:00
13854,308.58,309.24,308.51,309.035,5154579,2019-11-07,14:30:00
13855,309.04,309.2,308.75,308.96,3267458,2019-11-07,15:00:00
13856,308.97,309.4,308.89,309.21,2533697,2019-11-07,15:30:00
13857,309.2,309.24,308.91,308.9565,2603709,2019-11-07,16:00:00
13858,307.95,308.03,307.95,308.03,2374,2019-11-08,09:30:00
13859,308.06,308.11,308.03,308.11,1300,2019-11-08,10:00:00
13860,308.16,308.21,308.14,308.18,4440,2019-11-08,10:30:00
13861,308.17,308.33,308.14,308.26,5740,2019-11-08,11:00:00
13862,308.28,308.3,308.14,308.26,10608,2019-11-08,11:30:00
13863,308.23,308.58,308.18,308.5,44925,2019-11-08,12:00:00
13864,308.41,308.43,307.94,308.05,72776,2019-11-08,12:30:00
13865,308.05,308.46,307.56,308.06,105956,2019-11-08,13:00:00
